"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","order","family","genus","specificEpithet","scientificName","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","class","individualCount","occurrenceRemarks","recordedBy","continentOcean","verbatimLongitude","verbatimLatitude","sex","scientificNameAuthorship","preparationType","recordNumber","fieldNumber","infraspecificEpithet","identifiedBy","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","previousCatalogNumber","relationshipType"
"18","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","171260004","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","Promissão",NA,"-49.783299","-21.5",NA,NA,"Chordata","Mammalia",NA,"IDEACO: Tecnologia Agricola, Agro Industrial e Alimenticia Ltda. Projeto de Assentamento. Fazenda Reunidas, Promissão (SP), 1989 (RIMA); Equipe Técnica do Departamento Estadual de Proteção dos Recursos Naturais (DEPRN) de Penápolis.","IDEACO (1989) - RIMA; Equipe Técnica do DEPRN de Penápolis¹.","South America","-49.783299","-21.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","171290001","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","Rifaina",NA,"-47.349998","-20.1",NA,NA,"Chordata","Mammalia",NA,"Prof. Dr. José M. B. Duarte. Departamento de Zoologia - UNESP Jaboticabal (Com. pess. 15/12/2003). Equipe Técnica do Departamento Estadual de Proteção de Recursos Naturais (DEPRN) de Franca.","Prof. Dr. José M. B. Duarte (Com. pess. 15/12/2003) e Equipe Técnica do DEPRN de Franca¹.","South America","-47.349998","-20.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","171300001","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","Pedregulho",NA,"-47.283299","-20.2167",NA,NA,"Chordata","Mammalia",NA,"Prof. Dr. José M. B. Duarte. Departamento de Zoologia - UNESP Jaboticabal (Com. pess. 15/12/2003). Equipe Técnica do Departamento Estadual de Proteção de Recursos Naturais (DEPRN) de Franca.","Prof. Dr. José M. B. Duarte (Com. pess. 15/12/2003) e Equipe Técnica do DEPRN de Franca¹.","South America","-47.283299","-20.2167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","171310001","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","Pedregulho",NA,"-47.299999","-20.200001",NA,NA,"Chordata","Mammalia",NA,"Prof. Dr. José M. B. Duarte. Departamento de Zoologia - UNESP Jaboticabal (Com. pess. 15/12/2003). Equipe Técnica do Departamento Estadual de Recursos Naturais (DEPRN) de Franca.","Prof. Dr. José M. B. Duarte (Com. pess. 15/12/2003) e Equipe Técnica do DEPRN de Franca¹.","South America","-47.299999","-20.200001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","171320001","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","Buritizal",NA,"-47.666699","-20.133301",NA,NA,"Chordata","Mammalia",NA,"Prof. Dr. José M. B. Duarte. Departamento de Zoologia - UNESP Jaboticabal (Com. pess. 15/12/2003). Equipe Técnica do Departamento Estadual de Proteção de Recursos Naturais (DEPRN) de Franca.","Prof. Dr. José M. B. Duarte (Com. pess. 15/12/2003) e Equipe Técnica do DEPRN de Franca¹.","South America","-47.666699","-20.133301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","171330001","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","Igarapava",NA,"-47.650002","-20.1",NA,NA,"Chordata","Mammalia",NA,"Prof. Dr. José M. B. Duarte. Departamento de Zoologia - UNESP Jaboticabal (Com. pess. 15/12/2003). Equipe Técnica do Departamento Estadual de Proteção de Recursos Naturais (DEPRN) de Franca.","Prof. Dr. José M. B. Duarte (Com. pess. 15/12/2003) e Equipe Técnica do DEPRN de Franca¹.","South America","-47.650002","-20.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","171370001","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","Novo Horizonte",NA,"-49.383301","-21.383301",NA,NA,"Chordata","Mammalia",NA,"Equipe Técnica do Departamento estadual de Proteção de recursos naturais (DEPRN) de São José do Rio Preto.","Equipe Técnica do DEPRN de São José do Rio Preto.","South America","-49.383301","-21.383301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","171380001","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","Novo Horizonte",NA,"-49.349998","-21.35",NA,NA,"Chordata","Mammalia",NA,"Equipe Técnica do Departamento estadual de Proteção de recursos naturais (DEPRN) de São José do Rio Preto.","Equipe Técnica do DEPRN de São José do Rio Preto.","South America","-49.349998","-21.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","171390001","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","Irapuã",NA,"-49.3167","-21.3167",NA,NA,"Chordata","Mammalia",NA,"Equipe Técnica do Departamento estadual de Proteção de recursos naturais (DEPRN) de São José do Rio Preto.","Equipe Técnica do DEPRN de São José do Rio Preto.","South America","-49.3167","-21.3167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","171400001","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","Novo Horizonte",NA,"-49.299999","-21.5333",NA,NA,"Chordata","Mammalia",NA,"Equipe Técnica do Departamento estadual de Proteção de recursos naturais (DEPRN) de São José do Rio Preto.","Equipe Técnica do DEPRN de São José do Rio Preto.","South America","-49.299999","-21.5333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","171410001","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","Novo Horizonte",NA,"-49.283299","-21.5",NA,NA,"Chordata","Mammalia",NA,"Equipe Técnica do Departamento estadual de Proteção de recursos naturais (DEPRN) de São José do Rio Preto.","Equipe Técnica do DEPRN de São José do Rio Preto.","South America","-49.283299","-21.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
