"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","recordNumber","stateProvince","previousCatalogNumber","yearIdentified","county","coordinatePrecision","geoFlag","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","typeStatus","sex","preparationType","individualCount","dayIdentified","relatedCatalogItem"
15,"2019-12-06 14:30:28-03","MBM","MBM","417907","S","Plantae",NA,NA,"Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","Guedes, M.L.; Amaral, E.C.A.; Xavier, B.I.A.; Amaral, E.C.A.; Xavier, B.I.A.",2017,6,7,"Southern America","Brazil","Chapada Diamantina, Margens do Rio Bonito",-41.166667,-12.683333,"-41.166667","-12.683333",NA,"MBM417907",NA,NA,"Guedes, M.L.","25740","Bahia",NA,2017,"Wagner",NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
16,"2019-12-06 14:30:28-03","MBM","MBM","97731","S","Plantae",NA,NA,"Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","Noblick, L.R.",1983,5,25,"Southern America","Brazil","Campus da UEFS",-38.9667015075684,-12.2666997909546,NA,NA,NA,"MBM097731","MBM097731",NA,"Robinson, H.; Kint, R.M.","2684","Bahia",NA,NA,"Feira de Santana",46325,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"2019-12-06 14:30:28-03","MBM","MBM","341043","S","Plantae",NA,NA,"Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","Ribeiro, T.; et al.; et al.",2001,4,5,"Southern America","Brazil","Entre a Fazenda Pé de Serra e o riacho do Caldeirão",-40.5950012207031,-11.4288997650146,NA,NA,"Subarbusto ereto; perfumado. Folhas semi-papiráceas. Utilizada na forma de chá para estômago. vegetação Arbórea semi-caducifolia","MBM341043","MBM341043",NA,"Bautista, H.P.","133","Bahia",NA,2001,"Miguel Calmon",41248,"auto",4,820,820,NA,NA,NA,NA,NA,NA
19,"2019-12-06 14:30:28-03","MBM","MBM","268770","S","Plantae",NA,NA,"Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","Giulietti, A.M.; et al.; et al.",2000,2,24,"Southern America","Brazil","Estrada para Delfino",-40.3213996887207,-10.5074996948242,NA,NA,NA,"MBM268770","MBM268770",NA,NA,"1799","Bahia",NA,NA,"Campo Formoso",104183,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"2019-12-06 14:30:28-03","MBM","MBM","205692","S","Plantae",NA,NA,"Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","Hatschbach, G.; Hatschbach, M.; Ribas, O.S.; Hatschbach, M.; Ribas, O.S.",1997,1,17,"Southern America","Brazil","Lagoa do Pato",-42.4749984741211,-14.0693998336792,NA,NA,NA,"MBM205692","MBM205692",NA,"Robinson, H.","65869","Bahia",NA,NA,"Caetité",53684,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"2019-12-06 14:30:28-03","MBM","MBM","283453","S","Plantae",NA,NA,"Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","Hatschbach, G.; et al.; et al.",2003,6,28,"Southern America","Brazil","Lajeado Alto",-40.2117004394531,-12.7672004699707,NA,NA,NA,"MBM283453","MBM283453",NA,"Demateis, M.","75843","Bahia",NA,NA,"Iaçu",50006,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"2019-12-06 14:30:28-03","MBM","MBM","272888","S","Plantae",NA,NA,"Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","Ribeiro Filho, A.A.",2001,2,14,"Southern America","Brazil","Serra da Jibóia",-39.5233001708984,-12.771900177002,NA,NA,NA,"MBM272888","MBM272888",NA,"Bautista, H.P.","180","Bahia",NA,NA,"Santa Terezinha",25196,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"2019-10-16 14:11:05-03","UEL","FUEL","40710","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","Carneiro-Torres, DS; França, F; Cerqueira, DB; Godinho, A",2005,8,22,NA,"Brasil","Sentido Riachão do Dantas, próximo a comunidade Bo, Solo argiloso com afloramento de arenito. Vegetação arbustiva. 187.",-37.908889,-11.133889,"-37.908889","-11.133889","Arbusto 1,5m. Flolhas papiráceas, discolores face abaxial cinéria. Flores brancas com lacínios lilás.",NA,NA,"Tracheophyta","Bautista, HP","444","Bahia",NA,2006,"Tobias Barreto",NA,NA,8,187,187,NA,NA,NA,NA,NA,NA
29,"2017-01-18 16:19:04-02","UnB","UB","124093","S","Plantae",NA,NA,"Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","França, F",1997,6,22,"Southern America","Brasil","Morro da Garrafa",-39.863333,-12.755,"-39.863333","-12.755","Arbusto 1,5m. Folha membranácea. Capítulos em botões.",NA,NA,"Dicotyledoneae",NA,"2322","Bahia",NA,NA,"Iaçu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"2017-01-18 16:19:04-02","UnB","UB","124092","S","Plantae",NA,NA,"Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","Giulietti, AML",2000,2,24,"Southern America","Brasil","Estrada para Delfino, 9km depois de Poços",-40.478889,-10.488333,"-40.478889","-10.488333","Arbusto 0,8m. Capítulo com brácteas verdes, corola branca, anteras lilás, estilete branco; Caatinga",NA,NA,"Dicotyledoneae",NA,"1799","Bahia",NA,NA,"Campo Formoso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"2019-09-24 15:09:58-03","MCZ","HU-ZOO","34135","PreservedSpecimen","Animalia","Mammalia","Artiodactyla","Cervidae","Blastocerus","dichotomus","Blastocerus dichotomus","(Illiger, 1815)","John K. Howard",1700,1,1,"South America","Brazil","Matto Grosso",-48.616667,-18.733333,"-48.616667","-18.733333","sex: male",NA,NA,"Chordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"male","skull (dry)",1,NA,NA
33,"2020-01-06 11:57:36-03","NYBG","NYBG","02694411","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","R. S. Souza",2014,4,5,"South America","Brazil","Oriente Novo.. Estrada sentido Oriente Novo ao município de Boa Nova-BA. Borda da Mata.",-40.135972,-14.239528,"-40.135972","-14.239528","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2952897 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02694411","NY02694411","Magnoliophyta","H. E. Robinson","445","Bahia",NA,2016,"Jequié",NA,NA,NA,771,771,NA,NA,"sheet",NA,NA,NA
